Date,Time,Florida Residents - Positive,Florida Cases Repatriated* - Positive,Non-Florida resident - Positive,Total - Positive,People Monitored - Current,People Monitored - Total,Florida Residents - Deaths,Total - Deaths,Negative Tests,Pending Tests

2020-3-10,11:48 PM,21,5,2,28,319,1161,2,2,222,155

2020-3-11,11:26 AM,21,5,2,28,353,1230,2,2,301,147

